batch,d_loss,g_loss,d_real,d_fake,wasserstein_distance
15566,-0.15681368112564087,0.9891917705535889,-0.18591046333312988,-0.6252361536026001,0.4393256902694702
15571,-0.7082366347312927,0.5850892066955566,-0.007976025342941284,-0.9255702495574951,0.9175942242145538
15576,-0.2754936218261719,0.6542532444000244,0.5605179071426392,0.04769905284047127,0.5128188543021679
15581,-0.0970430076122284,0.49273455142974854,-0.16682371497154236,-0.5139271020889282,0.34710338711738586
15586,-0.4367448091506958,-1.107005000114441,1.2045018672943115,0.5217219591140747,0.6827799081802368
15591,-0.4663233757019043,0.48249948024749756,0.41402459144592285,-0.3074379861354828,0.7214625775814056
15596,-0.3179420232772827,-0.9301667213439941,1.0863368511199951,0.5147814750671387,0.5715553760528564
15601,0.004976809024810791,-1.5720710754394531,1.2884511947631836,0.9424094557762146,0.346041738986969
15606,-0.06784805655479431,-0.07234185934066772,0.4890601634979248,0.21622991561889648,0.2728302478790283
15611,-0.6097842454910278,0.6785351037979126,-0.03395691514015198,-0.902002215385437,0.868045300245285
15616,-0.4767793118953705,-0.451704204082489,0.8860905766487122,0.15352781116962433,0.7325627654790878
15621,0.1483718752861023,-1.5678026676177979,1.4137866497039795,1.277216911315918,0.13656973838806152
15626,-0.42933130264282227,-1.5241410732269287,2.5314717292785645,1.8976271152496338,0.6338446140289307
15631,-0.3373902142047882,-0.38650256395339966,1.2447375059127808,0.6969836950302124,0.5477538108825684
15636,0.057051241397857666,0.6447824239730835,-0.492877721786499,-0.6521861553192139,0.15930843353271484
15641,-0.47092393040657043,-0.10774000734090805,0.10498155653476715,-0.6139692068099976,0.7189507633447647
15646,-0.45063698291778564,0.4346114993095398,0.10343636572360992,-0.6200903058052063,0.7235266715288162
15651,-0.08516812324523926,2.127182960510254,-1.191720724105835,-1.4734843969345093,0.2817636728286743
15656,-0.036944106221199036,1.4869253635406494,-0.9935534596443176,-1.2614576816558838,0.26790422201156616
15661,-0.31559816002845764,1.4934051036834717,-0.8466163277626038,-1.4011183977127075,0.5545020699501038
15666,-0.02745416760444641,2.0114316940307617,-2.011003017425537,-2.2422873973846436,0.23128437995910645
15671,-0.5953215956687927,1.0623735189437866,-1.050582766532898,-1.8628039360046387,0.8122211694717407
15676,-0.544374942779541,1.9852871894836426,-1.460562825202942,-2.245850086212158,0.7852872610092163
15681,-0.7937813997268677,1.5128426551818848,-0.9061062335968018,-1.967250108718872,1.0611438751220703
15686,-0.3514399528503418,1.737670660018921,-1.2456344366073608,-1.8612018823623657,0.6155674457550049
15691,-0.4144839942455292,0.1605505347251892,0.13741084933280945,-0.518470287322998,0.6558811366558075
15696,-0.4693398177623749,1.216235637664795,-0.7318768501281738,-1.406610369682312,0.6747335195541382
15701,-0.4665990471839905,0.3111222982406616,-0.19878306984901428,-0.8777479529380798,0.6789648830890656
15706,-0.4844781160354614,0.21591319143772125,1.0242403745651245,0.28773361444473267,0.7365067601203918
15711,-0.3248688876628876,0.3789036273956299,0.4640965461730957,-0.09448578953742981,0.5585823357105255
15716,-0.23669995367527008,-0.5017502903938293,1.3634079694747925,0.9012701511383057,0.4621378183364868
15721,-0.5055521726608276,-1.4648975133895874,1.5856781005859375,0.8508322238922119,0.7348458766937256
15726,-0.02570834755897522,-0.9481513500213623,1.4113190174102783,1.0909701585769653,0.320348858833313
15731,-0.2500593662261963,-0.1486431211233139,0.8770217895507812,0.4137267470359802,0.463295042514801
15736,-0.4919692277908325,0.746924877166748,-0.8027424812316895,-1.4605132341384888,0.6577707529067993
15741,-0.6218754053115845,-0.7023611068725586,1.1052212715148926,0.19246122241020203,0.9127600491046906
15746,-0.41014111042022705,-0.8737630844116211,2.787583351135254,2.0398128032684326,0.7477705478668213
15751,-0.3941217064857483,-0.5081433057785034,1.0160760879516602,0.4800724983215332,0.536003589630127
15756,-0.3031742572784424,-1.0030500888824463,1.2960224151611328,0.7806353569030762,0.5153870582580566
15761,0.2767268419265747,-0.10876619815826416,0.820401668548584,0.8498552441596985,-0.029453575611114502
15766,-0.4020323157310486,0.6465423107147217,0.43724244832992554,-0.15540587902069092,0.5926483273506165
15771,-0.1403585523366928,0.5142778158187866,0.533452570438385,0.14992904663085938,0.38352352380752563
15776,-0.07453727722167969,1.2577271461486816,-1.3836712837219238,-1.6846916675567627,0.30102038383483887
15781,-0.4531930685043335,0.767795741558075,0.11505480110645294,-0.5716126561164856,0.6866674572229385
15786,-0.2493935376405716,0.0011955946683883667,0.09538130462169647,-0.34478074312210083,0.4401620477437973
15791,-0.1864585280418396,-0.5278310775756836,0.48705077171325684,-0.036848485469818115,0.523899257183075
15796,0.027918100357055664,-1.119653344154358,1.5208114385604858,1.2879788875579834,0.23283255100250244
15801,-0.41952669620513916,-0.0025495141744613647,0.155009925365448,-0.44996020197868347,0.6049701273441315
15806,-0.6520248055458069,-1.512362003326416,1.694154143333435,0.817986249923706,0.876167893409729
15811,0.14311039447784424,-0.640957236289978,1.2813823223114014,1.1714496612548828,0.10993266105651855
15816,-0.4389718472957611,0.2761887311935425,0.9367905855178833,0.3143216669559479,0.6224689185619354
15821,-0.6041395664215088,0.3061031699180603,0.46726086735725403,-0.3972318768501282,0.8644927442073822
15826,0.09090450406074524,0.7750275731086731,-0.24318477511405945,-0.40647393465042114,0.1632891595363617
15831,-0.08878260850906372,-0.7077564001083374,0.4964240789413452,0.05819001793861389,0.4382340610027313
15836,0.26992371678352356,-1.1398537158966064,1.3028135299682617,1.3374475240707397,-0.03463399410247803
15841,-0.113570436835289,0.5614513158798218,0.1620110720396042,-0.11188676208257675,0.27389783412218094
15846,-0.4026455283164978,-0.37836769223213196,0.19293855130672455,-0.5002608299255371,0.6931993812322617
15851,-0.4243427813053131,0.09122467041015625,0.5608315467834473,-0.10661432147026062,0.6674458682537079
15856,-0.5755637288093567,1.818983793258667,-0.8652527332305908,-1.650181531906128,0.7849287986755371
15861,-0.777732253074646,0.39938342571258545,-0.02924055978655815,-1.0295734405517578,1.0003328807651997
15866,-0.3050996661186218,1.197859764099121,-0.5533541440963745,-1.055191993713379,0.5018378496170044
15871,-0.2639074921607971,0.02232777327299118,0.17131543159484863,-0.32387685775756836,0.495192289352417
15876,-0.577362060546875,-1.0942829847335815,1.4132667779922485,0.6274830102920532,0.7857837677001953
15881,-0.17970222234725952,0.8359758853912354,0.027116484940052032,-0.3137929439544678,0.3409094288945198
15886,-0.5262769460678101,0.5877723097801208,-0.32920700311660767,-1.0900108814239502,0.7608038783073425
15891,-0.19868847727775574,0.8596073389053345,-0.21908873319625854,-0.6392683386802673,0.4201796054840088
15896,-0.2280784696340561,-0.4541691839694977,0.8723270297050476,0.39553940296173096,0.47678762674331665
15901,-0.5207843780517578,-0.3047064542770386,0.6512829661369324,-0.05017576739192009,0.7014587335288525
15906,-0.5688333511352539,-0.0442964993417263,1.0731725692749023,0.30923181772232056,0.7639407515525818
15911,-0.1278982162475586,-0.449546754360199,0.015547659248113632,-0.43033313751220703,0.44588079676032066
15916,-0.21789732575416565,-0.7393776178359985,1.0107271671295166,0.5124062299728394,0.49832093715667725
15921,-0.41459909081459045,-0.34876149892807007,0.560642659664154,-0.04435337334871292,0.604996033012867
15926,-0.1576789915561676,-0.5511811971664429,1.67130446434021,1.2422966957092285,0.42900776863098145
15931,-0.2239917814731598,-0.2629573345184326,0.3187832534313202,-0.06445139646530151,0.3832346498966217
15936,-0.374647319316864,-0.9991484880447388,1.462365984916687,0.8772436380386353,0.5851223468780518
15941,-0.2942354679107666,0.056633591651916504,0.8880562782287598,0.367302805185318,0.5207534730434418
15946,-0.5358684062957764,-0.7671864628791809,1.0640554428100586,0.2758729159832001,0.7881825268268585
15951,-0.1832996904850006,0.003957733511924744,0.675162672996521,0.2207929491996765,0.4543697237968445
15956,-0.1582600176334381,-0.08959292620420456,0.12457048892974854,-0.3288806676864624,0.45345115661621094
15961,-0.5001984238624573,-1.0798810720443726,1.5541132688522339,0.836046040058136,0.7180672287940979
15966,-0.040474653244018555,0.6289871335029602,0.5241376757621765,0.1924140751361847,0.3317236006259918
15971,-0.5166743993759155,0.4784289002418518,0.18856120109558105,-0.5029246807098389,0.6914858818054199
15976,-0.34504348039627075,-0.15235218405723572,0.7384107708930969,0.19531726837158203,0.5430935025215149
15981,-0.3283216953277588,0.7867656946182251,0.13426630198955536,-0.4015156030654907,0.5357819050550461
15986,-0.5070635080337524,-0.25179335474967957,1.1116639375686646,0.4585128128528595,0.653151124715805
15991,-0.5097370147705078,-0.20271402597427368,1.1847167015075684,0.4031588137149811,0.7815578877925873
15996,-0.3157854676246643,-0.1177569180727005,0.38439083099365234,-0.16983139514923096,0.5542222261428833
